abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.083, 3 Stars Brewing Company,6/3/2016,www.ratebeer.com/beer/3-stars-ultrafresh/423469/,3 Stars #ultrafresh,14,3.47,IIPA - Imperial / Double IPA,41.0
0.067, 3 Stars Brewing Company,10/6/2018,www.ratebeer.com/beer/3-stars-bout-that-life/664099/,3 Stars 'Bout That Life,3,3.18,Sour / Wild Beer,
0.055, 3 Stars Brewing Company,4/17/2017,www.ratebeer.com/beer/3-stars-aslin-flip-the-script/505583/,3 Stars / Aslin Flip the Script,5,3.2,Sour / Wild Beer,
0.072, 3 Stars Brewing Company,5/13/2018,www.ratebeer.com/beer/3-stars-captain-lawrence-7739s-and-bonnevilles/618050/,3 Stars / Captain Lawrence 77's and Bonnevilles,3,3.21,IIPA - Imperial / Double IPA,
0.065, 3 Stars Brewing Company,9/18/2016,www.ratebeer.com/beer/3-stars-charm-city-two-headed-unicorn/450469/,3 Stars / Charm City Two Headed Unicorn,9,3.44,Sour / Wild Beer,41.0
, 3 Stars Brewing Company,9/26/2014,www.ratebeer.com/beer/3-stars-daikaya-the-sansho-panza/289841/,3 Stars / Daikaya The Sansho Panza,0,,Saison / Farmhouse / Grisette,
0.063, 3 Stars Brewing Company,5/13/2018,www.ratebeer.com/beer/3-stars-finback-low-riderz/618047/,3 Stars / Finback Low Riderz,1,2.94,IPA,
0.04, 3 Stars Brewing Company,8/20/2017,www.ratebeer.com/beer/3-stars-interboro-d-is-for-diamond/544764/,3 Stars / Interboro D is for Diamond ,5,3.32,ISA - Session IPA,
0.095, 3 Stars Brewing Company,12/29/2018,www.ratebeer.com/beer/3-stars-interboro-prophets-of-outrage/691549/,3 Stars / Interboro Prophets of Outrage,1,3.02,Stout - Imperial,
0.08, 3 Stars Brewing Company,5/13/2018,www.ratebeer.com/beer/3-stars-interboro-tailpip-draggin/618053/,3 Stars / Interboro Tailpip Draggin,2,3.19,IIPA - Imperial / Double IPA,
0.085, 3 Stars Brewing Company,6/5/2017,www.ratebeer.com/beer/3-stars-j-wakefield-brewing-lupulicious/520251/,3 Stars / J. Wakefield Brewing Lupulicious,2,3.18,IIPA - Imperial / Double IPA,
0.087, 3 Stars Brewing Company,8/24/2014,www.ratebeer.com/beer/3-stars-jerkface-southern-belle-garlic-chili-jerky/283500/,3 Stars / Jerkface Southern Belle (Garlic Chili Jerky),1,2.77,Strong Ale - American,
0.085, 3 Stars Brewing Company,2/27/2013,www.ratebeer.com/beer/3-stars-meridian-pint-from-russia-with-love/203116/,3 Stars / Meridian Pint From Russia with Love,11,3.5,Stout - Imperial,39.0
0.085, 3 Stars Brewing Company,3/29/2013,www.ratebeer.com/beer/3-stars-meridian-pint-from-russia-with-love-cherry-wood/207835/,3 Stars / Meridian Pint From Russia with Love (Cherry Wood),8,3.32,Stout - Imperial,
, 3 Stars Brewing Company,9/13/2017,www.ratebeer.com/beer/3-stars-mike-isabella-concepts-mic-saison/551081/,3 Stars / Mike Isabella Concepts (MIC) Saison,3,3.1,Saison / Farmhouse / Grisette,
0.085, 3 Stars Brewing Company,11/13/2014,www.ratebeer.com/beer/3-stars-millstone-cellars-brandy-lyn/298902/,3 Stars / Millstone Cellars Brandy Lyn,5,3.32,Flavored - Fruit,
0.085, 3 Stars Brewing Company,6/22/2017,www.ratebeer.com/beer/3-stars-ocelot-knives-out/525175/,3 Stars / Ocelot Knives Out,1,3.11,IIPA - Imperial / Double IPA,
0.07, 3 Stars Brewing Company,8/18/2011,www.ratebeer.com/beer/3-stars-oliver-bw-rye/151904/,3 Stars / Oliver B.W. Rye,5,3.14,Specialty Grain - Other,
0.065, 3 Stars Brewing Company,4/27/2017,www.ratebeer.com/beer/3-stars-other-half-go-go-weiss/508501/,3 Stars / Other Half Go-Go Weiss,5,3.32,Sour / Wild Beer,
0.067, 3 Stars Brewing Company,6/1/2016,www.ratebeer.com/beer/3-stars-other-half-ricky-rose/422880/,3 Stars / Other Half Ricky Rosé,8,3.64,Sour / Wild Beer,
