abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.1, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-crooked-hammock-balance-beam/652456/,38-75 / Crooked Hammock Balance Beam,0,,Stout - Imperial,
0.065, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-dewey-beer-co-kick-it-ipa/652455/,38-75 / Dewey Beer Co. Kick it IPA,0,,IPA,
0.065, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-3pacs-ipa/652451/,38-75 3PAC's IPA,0,,IPA,
0.072, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-biggie-shorty-ipa/652450/,38-75 Biggie Shorty IPA,0,,IPA,
0.056, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-cranberry-sauced-pale-ale/652449/,38-75 Cranberry Sauce'd Pale Ale,0,,Pale Ale - American / APA,
0.067, 38-75 Brewing,10/3/2018,www.ratebeer.com/beer/38-75-dammmmmmnnn-smokey-ipa/663077/,38-75 Dammmmmmnnn Smokey IPA,1,2.98,IPA,
0.056, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-hooyoo-chocolate-milk-stout/652457/,38-75 HooYoo Chocolate Milk Stout,0,,Stout - Milk / Sweet,
0.082, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-industry-of-cool-belgian-blonde/652453/,38-75 Industry of Cool Belgian Blonde,0,,Belgian Ale - Strong Pale,
0.073, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-noname-saison/652458/,38-75 Nonamé Saison,1,3.04,Saison / Farmhouse / Grisette,
0.06, 38-75 Brewing,10/3/2018,www.ratebeer.com/beer/38-75-ooga-chaka-hefe/663076/,38-75 Ooga-Chaka Hefe,1,3.06,Weissbier - Hefeweizen,
0.055, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-poser-pale-ale/652454/,38-75 Poser Pale Ale,0,,Pale Ale - American / APA,
0.052, 38-75 Brewing,8/27/2018,www.ratebeer.com/beer/38-75-rhino-boogie-stout/652452/,38-75 Rhino Boogie Stout,0,,Stout,
, 3rd Wave Brewing Company,9/15/2018,www.ratebeer.com/beer/3rd-wave-juice-box-series-cherry-tangerine/658183/,3rd Wave  Juice Box Series: Cherry Tangerine,2,3.11,Berliner Weisse,
0.062, 3rd Wave Brewing Company,1/26/2013,www.ratebeer.com/beer/3rd-wave-1st-first-wave-ipa/199248/,3rd Wave 1st (First) Wave IPA,14,3.02,IPA,10.0
0.07, 3rd Wave Brewing Company,9/15/2018,www.ratebeer.com/beer/3rd-wave-all-juiced-up/658144/,3rd Wave All Juiced Up,2,3.11,Berliner Weisse,
0.026, 3rd Wave Brewing Company,8/15/2014,www.ratebeer.com/beer/3rd-wave-beach-juice/281895/,3rd Wave Beach Juice,4,3.21,Berliner Weisse,
0.053, 3rd Wave Brewing Company,6/10/2013,www.ratebeer.com/beer/3rd-wave-beachbreak-apricot-wheat/216603/,3rd Wave BeachBreak Apricot Wheat,4,3.34,Flavored - Fruit,
, 3rd Wave Brewing Company,11/4/2015,www.ratebeer.com/beer/3rd-wave-big-barrel-bourbon-belgian-quad/372952/,3rd Wave Big Barrel Bourbon Belgian Quad,1,2.92,Quadrupel / Abt,
