abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.071, 7 Locks Brewing,2/8/2019,www.ratebeer.com/beer/7-locks-suspended-collaboration-ipa/703113/,7 Locks / Suspended Collaboration IPA,2,,IPA,
0.06, 7 Locks Brewing,3/2/2019,www.ratebeer.com/beer/7-locks-355-ipa-series-halpine-edition/709123/,7 Locks 355 IPA Series: Halpine Edition,0,,IPA,
0.091, 7 Locks Brewing,6/9/2018,www.ratebeer.com/beer/7-locks-agave-ale/627141/,7 Locks Agave Ale,0,,Strong Ale - American,
0.092, 7 Locks Brewing,6/9/2018,www.ratebeer.com/beer/7-locks-ba-bourbon-bannockburn/627139/,7 Locks BA Bourbon Bannockburn,0,,Scotch Ale / Wee Heavy,
0.087, 7 Locks Brewing,4/26/2017,www.ratebeer.com/beer/7-locks-belgian-dubbel-barrel-aged/508332/,7 Locks Belgian Dubbel (Barrel Aged),1,3.06,Dubbel,
0.122, 7 Locks Brewing,11/26/2016,www.ratebeer.com/beer/7-locks-birthday-stout-bourbon-barrel/466839/,7 Locks Birthday Stout (Bourbon Barrel),2,3.16,Stout - Imperial,
0.05, 7 Locks Brewing,8/1/2017,www.ratebeer.com/beer/7-locks-bitch-monkey-sour/538972/,7 Locks Bitch Monkey Sour,2,3.09,Berliner Weisse,
0.052, 7 Locks Brewing,11/24/2018,www.ratebeer.com/beer/7-locks-bitch-monkey-sour-tart-cherry/680206/,7 Locks Bitch Monkey Sour (Tart Cherry),1,2.96,Berliner Weisse,
0.055, 7 Locks Brewing,5/14/2016,www.ratebeer.com/beer/7-locks-black-lager/418381/,7 Locks Black Lager,7,3.07,Schwarzbier / Black Lager,
0.056, 7 Locks Brewing,11/24/2015,www.ratebeer.com/beer/7-locks-blockhouse-point-oatmeal-stout/377552/,7 Locks Blockhouse Point Oatmeal Stout,12,3.43,Stout,75.0
0.057, 7 Locks Brewing,2/8/2019,www.ratebeer.com/beer/7-locks-chai-milk-stout/703117/,7 Locks Chai Milk Stout,0,,Stout - Milk / Sweet,
0.064, 7 Locks Brewing,4/8/2016,www.ratebeer.com/beer/7-locks-cherry-blossom-saison/409778/,7 Locks Cherry Blossom Saison,1,3.04,Saison / Farmhouse / Grisette,
0.042, 7 Locks Brewing,8/27/2016,www.ratebeer.com/beer/7-locks-citra-session-pale-ale/445016/,7 Locks Citra Session Pale Ale,1,2.96,Pale Ale - American / APA,
0.054, 7 Locks Brewing,11/24/2015,www.ratebeer.com/beer/7-locks-coffee-stout/377553/,7 Locks Coffee Stout,4,3.13,Stout - Dry,
0.067, 7 Locks Brewing,10/16/2016,www.ratebeer.com/beer/7-locks-cranberry-saison/457327/,7 Locks Cranberry Saison,1,3.06,Saison / Farmhouse / Grisette,
0.07, 7 Locks Brewing,4/26/2017,www.ratebeer.com/beer/7-locks-devil39s-alley-ipa/508326/,7 Locks Devil's Alley IPA,4,3.14,IPA,
0.038, 7 Locks Brewing,11/24/2015,www.ratebeer.com/beer/7-locks-english-bitter/377556/,7 Locks English Bitter,4,2.86,Bitter - Ordinary / Best,
0.055, 7 Locks Brewing,4/6/2017,www.ratebeer.com/beer/7-locks-erin-go-brew/502009/,7 Locks Erin Go Brew,1,3.06,Red Ale - Irish,
0.088, 7 Locks Brewing,3/3/2016,www.ratebeer.com/beer/7-locks-farmhouse-strong-ale/400079/,7 Locks Farmhouse Strong Ale,7,3.14,Strong Ale - American,
0.084, 7 Locks Brewing,11/26/2016,www.ratebeer.com/beer/7-locks-farmhouse-strong-ale-barrel-aged/466843/,7 Locks Farmhouse Strong Ale (Barrel Aged),1,3.09,Strong Ale - American,
0.087, 7 Locks Brewing,8/1/2017,www.ratebeer.com/beer/7-locks-grand-ol39-ditch-farmhouse-strong-ale/538974/,7 Locks Grand Ol' Ditch Farmhouse Strong Ale,2,3.04,Belgian Ale - Strong Pale,
0.06, 7 Locks Brewing,2/8/2019,www.ratebeer.com/beer/7-locks-grubby-thicket-brown-ale/703115/,7 Locks Grubby Thicket Brown Ale,0,,Brown Ale,
0.041, 7 Locks Brewing,11/24/2015,www.ratebeer.com/beer/7-locks-hazelnut-ale/377554/,7 Locks Hazelnut Ale,0,,Brown Ale,
0.06, 7 Locks Brewing,1/15/2017,www.ratebeer.com/beer/7-locks-heads-and-hearts-syrah-saison/479516/,7 Locks Heads and Hearts Syrah Saison,0,,Saison / Farmhouse / Grisette,
0.083, 7 Locks Brewing,6/9/2018,www.ratebeer.com/beer/7-locks-honey-rye-barrel-aged/627187/,7 Locks Honey Rye (Barrel Aged),1,3.17,Specialty Grain - Other,
0.046, 7 Locks Brewing,11/24/2015,www.ratebeer.com/beer/7-locks-honey-wheat-ale/377555/,7 Locks Honey Wheat Ale,6,2.94,Wheat Ale,
0.076, 7 Locks Brewing,1/3/2016,www.ratebeer.com/beer/7-locks-ipa-v1-el-dorado/387035/,7 Locks IPA V.1 - El Dorado,4,3.19,IPA,
0.076, 7 Locks Brewing,7/8/2016,www.ratebeer.com/beer/7-locks-ipa-v1-el-dorado-grapefruit/432365/,7 Locks IPA V.1 - El Dorado (Grapefruit),1,3.04,IPA,
0.071, 7 Locks Brewing,9/26/2016,www.ratebeer.com/beer/7-locks-ipa-v2-equinox/452423/,7 Locks IPA V.2 - Equinox,1,3.04,IPA,
0.076, 7 Locks Brewing,3/3/2016,www.ratebeer.com/beer/7-locks-ipa-v2-leap-year/400080/,7 Locks IPA V.2 - Leap Year,2,3.18,IPA,
0.067, 7 Locks Brewing,5/14/2016,www.ratebeer.com/beer/7-locks-ipa-v3/418380/,7 Locks IPA V.3,1,2.98,IPA,
0.07, 7 Locks Brewing,8/16/2016,www.ratebeer.com/beer/7-locks-ipa-v4-white-ipa/442230/,7 Locks IPA V.4 - White IPA,1,2.96,IPA,
0.047, 7 Locks Brewing,8/1/2017,www.ratebeer.com/beer/7-locks-ipa-v7-session-ipa/538976/,7 Locks IPA V.7 - Session IPA,0,,ISA - Session IPA,
, 7 Locks Brewing,10/16/2016,www.ratebeer.com/beer/7-locks-ipa-vx/457328/,7 Locks IPA V.X,1,3.09,IPA,
0.046, 7 Locks Brewing,4/8/2016,www.ratebeer.com/beer/7-locks-irish-red/409781/,7 Locks Irish Red,1,3.0,Red Ale - Irish,
0.052, 7 Locks Brewing,8/12/2016,www.ratebeer.com/beer/7-locks-juniper-lager/441289/,7 Locks Juniper Lager,1,3.0,Pale Lager - Intl / Premium,
0.075, 7 Locks Brewing,12/2/2017,www.ratebeer.com/beer/7-locks-magruder39s-honesty/572951/,7 Locks Magruder's Honesty,1,2.98,IPA - Black/Brown/Cascadian Dark,
0.066, 7 Locks Brewing,10/16/2016,www.ratebeer.com/beer/7-locks-oktoberfest/457325/,7 Locks Oktoberfest,2,2.97,Märzen / Oktoberfest Bier,
0.045, 7 Locks Brewing,4/8/2016,www.ratebeer.com/beer/7-locks-owen39s-ordinary-pale-ale/409779/,7 Locks Owen's Ordinary Pale Ale,6,2.96,Pale Ale - American / APA,
0.045, 7 Locks Brewing,11/24/2015,www.ratebeer.com/beer/7-locks-pale-ale/377549/,7 Locks Pale Ale,0,,Pale Ale - American / APA,
0.091, 7 Locks Brewing,6/9/2018,www.ratebeer.com/beer/7-locks-polychrome-dipa/627179/,7 Locks Polychrome DIPA,1,3.02,IIPA - Imperial / Double IPA,
0.062, 7 Locks Brewing,6/9/2018,www.ratebeer.com/beer/7-locks-potomac-fog-neipa/627137/,7 Locks Potomac Fog NEIPA,1,3.0,IPA - Hazy / NEIPA,
, 7 Locks Brewing,11/26/2016,www.ratebeer.com/beer/7-locks-pumpkin-ale/466844/,7 Locks Pumpkin Ale,1,3.11,Flavored - Other,
0.058, 7 Locks Brewing,4/26/2017,www.ratebeer.com/beer/7-locks-redland-lager/508324/,7 Locks Redland Lager,5,3.13,Amber Lager - Intl / Vienna,
0.115, 7 Locks Brewing,7/24/2016,www.ratebeer.com/beer/7-locks-rye-in-rum/436230/,7 Locks Rye in Rum,2,3.21,Strong Ale - American,
0.11, 7 Locks Brewing,7/23/2018,www.ratebeer.com/beer/7-locks-saison-rum-barrel/640901/,7 Locks Saison (Rum Barrel),1,3.04,Saison / Farmhouse / Grisette,
0.053, 7 Locks Brewing,6/9/2018,www.ratebeer.com/beer/7-locks-scow-sail/627140/,7 Locks Scow Sail,1,3.04,Cream Ale,
0.065, 7 Locks Brewing,2/8/2019,www.ratebeer.com/beer/7-locks-shattered-glass-neipa/703116/,7 Locks Shattered Glass NEIPA,0,,IPA - Hazy / NEIPA,
0.05, 7 Locks Brewing,7/29/2016,www.ratebeer.com/beer/7-locks-sligo-creek-golden-lager/437451/,7 Locks Sligo Creek Golden Lager,3,3.03,Amber Lager - Intl / Vienna,
0.055, 7 Locks Brewing,1/10/2016,www.ratebeer.com/beer/7-locks-snakeden-saison/388415/,7 Locks Snakeden Saison,10,3.17,Saison / Farmhouse / Grisette,24.0
0.058, 7 Locks Brewing,11/24/2015,www.ratebeer.com/beer/7-locks-surrender-dorothy-red-ryepa/377550/,7 Locks Surrender Dorothy Red RyePA,14,3.39,Specialty Grain - Other,90.0
0.052, 7 Locks Brewing,8/1/2017,www.ratebeer.com/beer/7-locks-terra-mater-saison/538979/,7 Locks Terra Mater Saison,1,3.02,Saison / Farmhouse / Grisette,
0.078, 7 Locks Brewing,2/8/2019,www.ratebeer.com/beer/7-locks-turtle-run-belgian-pale-ale/703114/,7 Locks Turtle Run Belgian Pale Ale,0,,Belgian Ale - Pale / Golden,
0.085, 7 Locks Brewing,4/26/2017,www.ratebeer.com/beer/7-locks-vanilla-imperial-stout-bourbon-barrel/508334/,7 Locks Vanilla Imperial Stout (Bourbon Barrel),1,2.98,Stout - Imperial,
0.049, AleCraft (MD),3/9/2018,www.ratebeer.com/beer/alecraft-belgian-wit/598532/,AleCraft Belgian Wit,0,,Witbier / Belgian White Ale,
0.065, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-cassiopeia-rye-lager/589230/,AleCraft Cassiopeia Rye Lager,0,,Dark Lager - Dunkel / Tmavý,
0.042, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-chesapeake-cream-ale/589219/,AleCraft Chesapeake Cream Ale,0,,Cream Ale,
0.09, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-crucible-belgian-tripel/589221/,AleCraft Crucible Belgian Tripel,0,,Tripel,
0.049, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-der-hund-hefeweizen/589225/,AleCraft Der Hund Hefeweizen ,0,,Weissbier - Hefeweizen,
0.072, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-le-renard-ipa/589231/,AleCraft Le Renard IPA,0,,IPA,
0.045, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-new-england-session-ipa/589223/,AleCraft New England Session IPA,0,,ISA - Session IPA,
0.08, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-recalcitrant-dipa/589226/,AleCraft Recalcitrant DIPA,0,,IIPA - Imperial / Double IPA,
0.046, AleCraft (MD),2/3/2018,www.ratebeer.com/beer/alecraft-shoestring-kolsch/589228/,AleCraft Shoestring Kolsch,0,,Kölsch / Kölsch-Style,
0.05, Antietam Brewery & Restaurant,7/9/2016,www.ratebeer.com/beer/antietam-1605-red/432703/,Antietam 1605 Red,5,2.75,Red Ale - Irish,
0.06, Antietam Brewery & Restaurant,7/3/2017,www.ratebeer.com/beer/antietam-bases-loaded/529021/,Antietam Bases Loaded,3,2.93,Red Ale / Intl Amber Ale,
0.076, Antietam Brewery & Restaurant,9/15/2014,www.ratebeer.com/beer/antietam-batch-100-belgian-saison/287519/,Antietam Batch 100 Belgian Saison,1,2.83,Saison / Farmhouse / Grisette,
0.058, Antietam Brewery & Restaurant,12/7/2013,www.ratebeer.com/beer/antietam-battlefield-best-bitter/241019/,Antietam Battlefield Best Bitter,7,2.97,Bitter - Ordinary / Best,
0.08, Antietam Brewery & Restaurant,2/10/2019,www.ratebeer.com/beer/antietam-busthead-maibock/703681/,Antietam Busthead Maibock,0,,Bock- Heller Bock / Maibock,
0.096, Antietam Brewery & Restaurant,12/7/2013,www.ratebeer.com/beer/antietam-campaign-3977-winter-ale/241020/,Antietam Campaign '77 Winter Ale,2,2.91,Strong Ale - American,
0.073, Antietam Brewery & Restaurant,4/6/2013,www.ratebeer.com/beer/antietam-clara-b39s-trappist-dubbel/208574/,Antietam Clara-B's Trappist Dubbel,4,3.0,Dubbel,
0.058, Antietam Brewery & Restaurant,2/10/2019,www.ratebeer.com/beer/antietam-cupid39s-truffle/703678/,Antietam Cupid's Truffle,0,,Stout,
0.053, Antietam Brewery & Restaurant,10/2/2014,www.ratebeer.com/beer/antietam-dunker39s-dunkel-weiss/290952/,Antietam Dunker's Dunkel-weiss,0,,Weissbier - Dunkelweizen,
0.065, Antietam Brewery & Restaurant,12/28/2018,www.ratebeer.com/beer/antietam-fashionably-late/691389/,Antietam Fashionably Late,1,3.0,IPA - Hazy / NEIPA,
0.06, Antietam Brewery & Restaurant,12/7/2013,www.ratebeer.com/beer/antietam-freedom-porter/241021/,Antietam Freedom Porter,2,3.07,Porter,
0.054, Antietam Brewery & Restaurant,4/6/2013,www.ratebeer.com/beer/antietam-general39s-golden-ale/208573/,Antietam General's Golden Ale,17,2.88,Blonde Ale / Golden Ale,35.0
0.053, Antietam Brewery & Restaurant,7/14/2013,www.ratebeer.com/beer/antietam-hager-weiss-hefeweizen/220920/,Antietam Hager-Weiss Hefeweizen,15,3.14,Weissbier - Hefeweizen,77.0
0.085, Antietam Brewery & Restaurant,7/3/2017,www.ratebeer.com/beer/antietam-inaugural-ale/529010/,Antietam Inaugural Ale,1,2.98,Belgian Ale - Strong Pale,
0.075, Antietam Brewery & Restaurant,4/6/2013,www.ratebeer.com/beer/antietam-kelly39s-red-river-india-red-ale-ira/208569/,Antietam Kelly's Red River India Red Ale (IRA),10,3.28,IPA,39.0
0.05, Antietam Brewery & Restaurant,12/7/2013,www.ratebeer.com/beer/antietam-lil39-ben39s-milk-stout/241023/,Antietam Lil' Ben's Milk Stout,16,3.25,Stout - Milk / Sweet,35.0
0.065, Antietam Brewery & Restaurant,7/9/2016,www.ratebeer.com/beer/antietam-little-mac-ipa/432705/,Antietam Little Mac IPA,6,3.05,IPA,
0.062, Antietam Brewery & Restaurant,10/13/2013,www.ratebeer.com/beer/antietam-oktoberfest/233286/,Antietam Oktoberfest,1,3.04,Märzen / Oktoberfest Bier,
0.065, Antietam Brewery & Restaurant,10/13/2013,www.ratebeer.com/beer/antietam-otto39s-orchard-black-cherry/233285/,Antietam Otto's Orchard - Black Cherry,1,2.89,Flavored - Fruit,
0.07, Antietam Brewery & Restaurant,12/7/2013,www.ratebeer.com/beer/antietam-otto39s-orchard-blueberry/241022/,Antietam Otto's Orchard - Blueberry,1,2.79,Flavored - Fruit,
0.065, Antietam Brewery & Restaurant,2/25/2014,www.ratebeer.com/beer/antietam-otto39s-orchard-boysenberry/252907/,Antietam Otto's Orchard - Boysenberry,2,2.85,Flavored - Fruit,
0.07, Antietam Brewery & Restaurant,9/1/2013,www.ratebeer.com/beer/antietam-otto39s-orchard-peach/227434/,Antietam Otto's Orchard - Peach,2,2.75,Flavored - Fruit,
0.06, Antietam Brewery & Restaurant,9/1/2013,www.ratebeer.com/beer/antietam-otto39s-orchard-raspberry/227433/,Antietam Otto's Orchard - Raspberry,7,2.94,Flavored - Fruit,
0.053, Antietam Brewery & Restaurant,4/6/2013,www.ratebeer.com/beer/antietam-pickett39s-porter/208571/,Antietam Pickett's Porter,5,3.16,Porter,
0.1, Antietam Brewery & Restaurant,6/25/2016,www.ratebeer.com/beer/antietam-reluctance-double-ipa/428950/,Antietam Reluctance Double IPA,5,2.95,IIPA - Imperial / Double IPA,
0.053, Antietam Brewery & Restaurant,7/9/2016,www.ratebeer.com/beer/antietam-smash-pilsener/432707/,Antietam SMASH Pilsener,2,2.97,Pilsener - Czech / Svetlý,
0.061, Antietam Brewery & Restaurant,6/4/2018,www.ratebeer.com/beer/antietam-waxing-mosaic/625161/,Antietam Waxing Mosaic,1,3.04,IPA,
0.06, Antietam Brewery & Restaurant,2/10/2019,www.ratebeer.com/beer/antietam-weizenbock/703680/,Antietam Weizenbock,0,,Bock - Weizenbock,
0.052, Antietam Brewery & Restaurant,7/9/2016,www.ratebeer.com/beer/antietam-witness-tree-nut-brown/432702/,Antietam Witness Tree Nut Brown,8,3.03,Brown Ale,
0.058, Assawoman Bay Brewing Company,8/26/2014,www.ratebeer.com/beer/assawoman-bay-angry-clown-brown-ale/283812/,Assawoman Bay Angry Clown Brown Ale,7,3.01,Brown Ale,34.0
0.052, Assawoman Bay Brewing Company,8/26/2014,www.ratebeer.com/beer/assawoman-bay-bayside-blonde/283808/,Assawoman Bay Bayside Blonde,7,2.89,Blonde Ale / Golden Ale,
0.071, Assawoman Bay Brewing Company,11/24/2015,www.ratebeer.com/beer/assawoman-bay-bike-week-black-ale/377529/,Assawoman Bay Bike Week Black Ale,0,,Stout,
0.066, Assawoman Bay Brewing Company,11/24/2015,www.ratebeer.com/beer/assawoman-bay-bryant39s-folly/377526/,Assawoman Bay Bryant's Folly,0,,Belgian Ale - Strong Pale,
0.06, Assawoman Bay Brewing Company,8/26/2014,www.ratebeer.com/beer/assawoman-bay-coastal-edge-copper/283809/,Assawoman Bay Coastal Edge Copper,3,2.81,Red Ale / Intl Amber Ale,
0.071, Assawoman Bay Brewing Company,12/28/2014,www.ratebeer.com/beer/assawoman-bay-commander-decatur-black-ipa/307212/,Assawoman Bay Commander Decatur Black IPA,4,3.21,IPA - Black/Brown/Cascadian Dark,
0.057, Assawoman Bay Brewing Company,11/24/2015,www.ratebeer.com/beer/assawoman-bay-for-peat-sake/377528/,Assawoman Bay For Peat Sake,1,3.0,Scottish Ale,
0.047, Assawoman Bay Brewing Company,8/26/2014,www.ratebeer.com/beer/assawoman-bay-isle-of-wight-wheat/283811/,Assawoman Bay Isle of Wight Wheat,3,2.8,Wheat Ale,
0.058, Assawoman Bay Brewing Company,10/31/2015,www.ratebeer.com/beer/assawoman-bay-md-marzen/372183/,Assawoman Bay MD Marzen,6,2.99,Märzen / Oktoberfest Bier,
0.068, Assawoman Bay Brewing Company,8/26/2014,www.ratebeer.com/beer/assawoman-bay-pony-swim-india-pale-ale/283810/,Assawoman Bay Pony Swim India Pale Ale,5,3.0,IPA,
0.054, Assawoman Bay Brewing Company,11/24/2015,www.ratebeer.com/beer/assawoman-bay-queen-anne39s-revenge/377525/,Assawoman Bay Queen Anne's Revenge,0,,Pilsener / Pils / Pilsner,
0.056, Assawoman Bay Brewing Company,12/28/2014,www.ratebeer.com/beer/assawoman-bay-red-head-rye-ale/307213/,Assawoman Bay Red Head Rye Ale,4,2.96,Specialty Grain - Other,
0.066, Assawoman Bay Brewing Company,8/26/2014,www.ratebeer.com/beer/assawoman-bay-sunsationale-belgian-pale-ale/283815/,Assawoman Bay Sunsationale Belgian Pale Ale,3,2.85,Belgian Ale - Pale / Golden,
0.053, Assawoman Bay Brewing Company,3/17/2015,www.ratebeer.com/beer/assawoman-bay-transporter/321585/,Assawoman Bay Transporter,7,3.2,Porter,
0.052, Assawoman Bay Brewing Company,11/2/2015,www.ratebeer.com/beer/assawoman-bay-weizen-shine/372504/,Assawoman Bay Weizen Shine,2,3.02,Weissbier - Hefeweizen,
0.047, Assawoman Bay Brewing Company,11/24/2015,www.ratebeer.com/beer/assawoman-bay-weizenshine/377527/,Assawoman Bay Weizenshine,0,,Weissbier - Hefeweizen,
0.06, Astro Lab Brewing,11/29/2018,www.ratebeer.com/beer/astro-lab-alfie/681883/,Astro Lab Alfie,1,3.09,Stout,
0.057, Astro Lab Brewing,11/29/2018,www.ratebeer.com/beer/astro-lab-birthday-wahine/681879/,Astro Lab Birthday Wahine,1,3.06,Pale Ale - American / APA,
0.057, Astro Lab Brewing,2/28/2019,www.ratebeer.com/beer/astro-lab-birthday-wahine-citra/708730/,Astro Lab Birthday Wahine - Citra,1,3.04,Pale Ale - American / APA,
0.068, Astro Lab Brewing,2/19/2019,www.ratebeer.com/beer/astro-lab-bonifant/706282/,Astro Lab Bonifant,2,3.04,Saison / Farmhouse / Grisette,
0.074, Astro Lab Brewing,2/10/2019,www.ratebeer.com/beer/astro-lab-dim-the-lights/703509/,Astro Lab Dim the Lights,1,3.09,IPA - Hazy / NEIPA,
0.059, Astro Lab Brewing,2/19/2019,www.ratebeer.com/beer/astro-lab-endeavour-i/706285/,Astro Lab Endeavour I,1,2.92,Amber Lager - Intl / Vienna,
0.071, Astro Lab Brewing,4/21/2019,www.ratebeer.com/beer/astro-lab-fresh-as/723439/,Astro Lab Fresh As,1,3.15,IPA - Hazy / NEIPA,
0.055, Astro Lab Brewing,3/28/2019,www.ratebeer.com/beer/astro-lab-ka-rua/716589/,Astro Lab Ka Rua,1,3.04,Pilsener / Pils / Pilsner,
0.06, Astro Lab Brewing,12/10/2018,www.ratebeer.com/beer/astro-lab-moo/684864/,Astro Lab Moo,1,3.06,Stout - Milk / Sweet,
0.08, Astro Lab Brewing,12/10/2018,www.ratebeer.com/beer/astro-lab-nebula/684869/,Astro Lab Nebula,2,3.28,IIPA - Imperial / Double IPA,
