abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.055, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-aranciata/537125/,1781 Aranciata,0,,Weissbier - Hefeweizen,
0.095, 1781 Brewing Company,12/16/2018,www.ratebeer.com/beer/1781-belgian-breakfast/687080/,1781 Belgian Breakfast,0,,Belgian Ale - Strong Pale,
0.09, 1781 Brewing Company,7/9/2017,www.ratebeer.com/beer/1781-belgian-strong-dark-chocolate/530845/,1781 Belgian Strong Dark Chocolate,0,,Belgian Ale - Strong Pale,
0.094, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-belgiquiose-d39-or/537118/,1781 Belgiquiose D' or,1,3.04,Belgian Ale - Strong Pale,
0.047, 1781 Brewing Company,4/20/2018,www.ratebeer.com/beer/1781-belsnickel/610971/,1781 Belsnickel,1,2.94,Weissbier - Dunkelweizen,
0.055, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-blaubeere/537128/,1781 Blaubeere,0,,Weissbier - Hefeweizen,
0.095, 1781 Brewing Company,6/22/2017,www.ratebeer.com/beer/1781-chardonnay-barrel-sour-saison/524954/,1781 Chardonnay Barrel Sour Saison,0,,Saison / Farmhouse / Grisette,
0.075, 1781 Brewing Company,12/22/2017,www.ratebeer.com/beer/1781-conifere/578410/,1781 Conifére ,1,3.04,IIPA - Imperial / Double IPA,
0.095, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-double-double-mango-kasbah/537120/,1781 Double Double Mango Kasbah,0,,IIPA - Imperial / Double IPA,
0.054, 1781 Brewing Company,4/20/2018,www.ratebeer.com/beer/1781-el-jefe/610970/,1781 El Jefe,1,2.98,Weissbier - Hefeweizen,
0.125, 1781 Brewing Company,12/22/2017,www.ratebeer.com/beer/1781-fimbulvinter/578403/,1781 Fimbulvinter ,0,,Flavored - Other,
0.125, 1781 Brewing Company,12/22/2017,www.ratebeer.com/beer/1781-fimbulvinter-figgy-pudding/578405/,1781 Fimbulvinter (Figgy Pudding),0,,Flavored - Other,
0.055, 1781 Brewing Company,7/9/2017,www.ratebeer.com/beer/1781-hefeweizen/530840/,1781 Hefeweizen,0,,Weissbier - Hefeweizen,
0.055, 1781 Brewing Company,7/9/2017,www.ratebeer.com/beer/1781-hefeweizen-blood-orange/530841/,1781 Hefeweizen (Blood Orange),0,,Weissbier - Hefeweizen,
0.055, 1781 Brewing Company,7/9/2017,www.ratebeer.com/beer/1781-hefeweizen-tangerine/530843/,1781 Hefeweizen (Tangerine),0,,Weissbier - Hefeweizen,
0.057, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-horchata-wit/537116/,1781 Horchata Wit,0,,Witbier / Belgian White Ale,
0.059, 1781 Brewing Company,11/7/2015,www.ratebeer.com/beer/1781-ipa/373732/,1781 IPA,0,,IPA,
0.072, 1781 Brewing Company,7/9/2017,www.ratebeer.com/beer/1781-jeune-saison/530844/,1781 Jeune Saison,0,,Saison / Farmhouse / Grisette,
0.053, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-kazuno-maharoba/537117/,1781 Kazuno Maharoba,1,2.92,Pilsener / Pils / Pilsner,
0.085, 1781 Brewing Company,12/22/2017,www.ratebeer.com/beer/1781-l39automne/578401/,1781 L'automne,1,2.85,Belgian Ale - Strong Pale,
0.095, 1781 Brewing Company,12/16/2018,www.ratebeer.com/beer/1781-l39automne-imperial/687081/,1781 L'Automne Imperial,0,,Red Ale - Irish,
0.07, 1781 Brewing Company,5/5/2017,www.ratebeer.com/beer/1781-lafayette-saison-version-1-bottled/511024/,1781 Lafayette Saison (Version 1 - Bottled),1,3.02,Saison / Farmhouse / Grisette,
0.07, 1781 Brewing Company,7/29/2017,www.ratebeer.com/beer/1781-lafayette-saison-version-2-draft/538071/,1781 Lafayette Saison (Version 2 - Draft),2,2.83,Saison / Farmhouse / Grisette,
0.07, 1781 Brewing Company,7/21/2018,www.ratebeer.com/beer/1781-o39hara/640291/,1781 O'Hara ,0,,Stout - Dry,
0.065, 1781 Brewing Company,4/20/2018,www.ratebeer.com/beer/1781-persephone/610972/,1781 Persephone,1,2.92,IPA,
0.055, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-pompelo/537127/,1781 Pompelo,0,,Weissbier - Hefeweizen,
0.072, 1781 Brewing Company,12/16/2018,www.ratebeer.com/beer/1781-saison-de-l39-orange/687079/,1781 Saison De L' Orange,0,,Saison / Farmhouse / Grisette,
0.05, 1781 Brewing Company,10/17/2018,www.ratebeer.com/beer/1781-sea-monkey/667452/,1781 Sea Monkey,0,,IPA,
, 1781 Brewing Company,12/22/2017,www.ratebeer.com/beer/1781-st-anthony/578409/,1781 St. Anthony,0,,Specialty Grain - Other,
0.055, 1781 Brewing Company,11/8/2017,www.ratebeer.com/beer/1781-summer-beer/566408/,1781 Summer Beer,1,,Weissbier - Hefeweizen,
0.055, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-tangerines/537126/,1781 Tang...erines,0,,Weissbier - Hefeweizen,
0.051, 1781 Brewing Company,5/5/2017,www.ratebeer.com/beer/1781-von-steuben-kolsch/511022/,1781 Von Steuben Kolsch,1,2.89,Kölsch / Kölsch-Style,
0.05, 1781 Brewing Company,7/27/2017,www.ratebeer.com/beer/1781-von-steuben-kolsch-blood-orange/537123/,1781 Von Steuben Kolsch (Blood Orange),0,,Kölsch / Kölsch-Style,
0.059, 1781 Brewing Company,11/7/2015,www.ratebeer.com/beer/1781-washington-hare-honey-porter/373731/,1781 Washington Hare Honey Porter,2,3.11,Porter,
0.051, 2 Silos Brewing Company,12/11/2017,www.ratebeer.com/beer/2-silos-amber-ale/575488/,2 Silos Amber Ale,1,2.98,Red Ale / Intl Amber Ale,
0.065, 2 Silos Brewing Company,7/4/2017,www.ratebeer.com/beer/2-silos-back-door-pale-ale/529451/,2 Silos Back Door Pale Ale,0,,Pale Ale - American / APA,
0.042, 2 Silos Brewing Company,11/4/2018,www.ratebeer.com/beer/2-silos-bill-iner-weisse-sour/673023/,2 Silos Bill-iner Weisse Sour ,0,,Berliner Weisse,
0.06, 2 Silos Brewing Company,7/21/2018,www.ratebeer.com/beer/2-silos-blueberry-blonde/640293/,2 Silos Blueberry Blonde ,0,,Blonde Ale / Golden Ale,
0.069, 2 Silos Brewing Company,1/26/2019,www.ratebeer.com/beer/2-silos-citralicious-american-ipa/699408/,2 Silos Citralicious American IPA,0,,IPA,
, 2 Silos Brewing Company,8/20/2017,www.ratebeer.com/beer/2-silos-commonwealth-black-ipa/544686/,2 Silos Commonwealth Black IPA,5,3.3,IPA - Black/Brown/Cascadian Dark,
0.062, 2 Silos Brewing Company,2/24/2018,www.ratebeer.com/beer/2-silos-country-porter/594983/,2 Silos Country Porter,1,3.02,Porter,
0.051, 2 Silos Brewing Company,3/8/2018,www.ratebeer.com/beer/2-silos-czech-premium-pale-lager/598339/,2 Silos Czech Premium Pale Lager,0,,Pilsener - Czech / Svetlý,
0.069, 2 Silos Brewing Company,1/26/2019,www.ratebeer.com/beer/2-silos-english-ipa/699414/,2 Silos English IPA,0,,IPA,
0.06, 2 Silos Brewing Company,7/4/2017,www.ratebeer.com/beer/2-silos-equinsu-ocha-witbier/529454/,2 Silos Equinsu Ocha Witbier,0,,Witbier / Belgian White Ale,
0.065, 2 Silos Brewing Company,2/24/2018,www.ratebeer.com/beer/2-silos-experimental-ipa-2/594985/,2 Silos Experimental IPA #2,1,3.04,IPA,
0.075, 2 Silos Brewing Company,2/24/2018,www.ratebeer.com/beer/2-silos-experimental-ipa-3/594986/,2 Silos Experimental IPA #3,0,,IPA,
0.06, 2 Silos Brewing Company,7/4/2017,www.ratebeer.com/beer/2-silos-fat-cow-cream-ale/529453/,2 Silos Fat Cow Cream Ale,0,,Cream Ale,
0.067, 2 Silos Brewing Company,2/24/2018,www.ratebeer.com/beer/2-silos-fest-bier/594984/,2 Silos Fest Bier,0,,Märzen / Oktoberfest Bier,
0.073, 2 Silos Brewing Company,12/11/2017,www.ratebeer.com/beer/2-silos-gingerbread-ale/575489/,2 Silos Gingerbread Ale,0,,Flavored - Other,
0.099, 2 Silos Brewing Company,1/26/2019,www.ratebeer.com/beer/2-silos-gravensteen39s-tripel/699411/,2 Silos Gravensteen's Tripel,0,,Tripel,
0.05, 2 Silos Brewing Company,11/4/2018,www.ratebeer.com/beer/2-silos-harvest-ale/673014/,2 Silos Harvest Ale,0,,Pale Ale - American / APA,
0.058, 2 Silos Brewing Company,7/21/2018,www.ratebeer.com/beer/2-silos-helles-lager/640295/,2 Silos Helles Lager,0,,Helles / Dortmunder Export,
0.065, 2 Silos Brewing Company,11/4/2018,www.ratebeer.com/beer/2-silos-hype-beer-tension/673019/,2 Silos Hype-BEER-Tension,0,,IPA - Hazy / NEIPA,
0.094, 2 Silos Brewing Company,4/16/2018,www.ratebeer.com/beer/2-silos-imperial-ipa/610057/,2 Silos Imperial IPA,2,3.14,IPA,
0.055, 2 Silos Brewing Company,4/16/2018,www.ratebeer.com/beer/2-silos-irish-red/610056/,2 Silos Irish Red,0,,Red Ale - Irish,
0.085, 2 Silos Brewing Company,7/4/2017,www.ratebeer.com/beer/2-silos-loudmouth-black-ipa/529452/,2 Silos Loudmouth Black IPA,0,,IPA - Black/Brown/Cascadian Dark,
0.05, 2 Silos Brewing Company,1/26/2019,www.ratebeer.com/beer/2-silos-manassas-station-lager/699413/,2 Silos Manassas Station Lager,0,,Pale Lager - North Am. / Light,
, 2 Silos Brewing Company,8/20/2017,www.ratebeer.com/beer/2-silos-mason-pale-ale/544687/,2 Silos Mason Pale Ale,5,3.09,Pale Ale - American / APA,
0.06, 2 Silos Brewing Company,8/22/2018,www.ratebeer.com/beer/2-silos-new-england-ipa/650353/,2 Silos New England IPA,1,2.98,IPA - Hazy / NEIPA,
0.06, 2 Silos Brewing Company,12/11/2017,www.ratebeer.com/beer/2-silos-nova-white-belgian/575486/,2 Silos NOVA White Belgian,3,3.1,Witbier / Belgian White Ale,
0.063, 2 Silos Brewing Company,10/14/2017,www.ratebeer.com/beer/2-silos-oktoberfest/559691/,2 Silos Oktoberfest,3,2.97,Märzen / Oktoberfest Bier,
0.095, 2 Silos Brewing Company,12/11/2017,www.ratebeer.com/beer/2-silos-old-dominion-imperial-stout/575487/,2 Silos Old Dominion Imperial Stout,4,3.19,Stout - Imperial,
