abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.062, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-ale/532082/,Abolitionist Ale,1,2.89,Saison / Farmhouse / Grisette,
0.065, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-alpha-mayle-ipa/532073/,Abolitionist Alpha Mayle IPA,2,2.81,IPA,
0.038, Abolitionist Ale Works,12/30/2017,www.ratebeer.com/beer/abolitionist-beverley-flats-bitter/580619/,Abolitionist Beverley Flats Bitter,1,2.94,Bitter - Ordinary / Best,
0.053, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-dark-raider/532080/,Abolitionist Dark Raider,1,3.06,Stout,
0.09, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-dirty-beard-with-chocolate-and-coffee/532081/,Abolitionist Dirty Beard With Chocolate And Coffee,1,3.09,Stout - Imperial,
0.09, Abolitionist Ale Works,12/30/2017,www.ratebeer.com/beer/abolitionist-dirty-beard-with-chocolate-coffee-and-raspberry/580625/,"Abolitionist Dirty Beard with Chocolate, Coffee and Raspberry",1,3.02,Stout - Imperial,
0.074, Abolitionist Ale Works,9/18/2018,www.ratebeer.com/beer/abolitionist-dub-v/658862/,Abolitionist Dub V,1,3.17,Dubbel,
0.042, Abolitionist Ale Works,9/18/2018,www.ratebeer.com/beer/abolitionist-harpers-berry/658858/,Abolitionist Harpers Berry,1,3.13,Sour / Wild Beer,
0.046, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-hoppy-retreat-funky-fiasco/532075/,Abolitionist Hoppy Retreat Funky Fiasco,0,,ISA - Session IPA,
0.046, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-hoppy-retreat-session-ipa/532074/,Abolitionist Hoppy Retreat Session IPA ,3,3.16,ISA - Session IPA,
0.073, Abolitionist Ale Works,12/30/2017,www.ratebeer.com/beer/abolitionist-hoppy-saison/580623/,Abolitionist Hoppy Saison,2,3.18,Saison / Farmhouse / Grisette,
0.04, Abolitionist Ale Works,12/30/2017,www.ratebeer.com/beer/abolitionist-let’s-gose/580620/,Abolitionist Let’s Gose,1,3.02,Gose,
0.057, Abolitionist Ale Works,9/24/2017,www.ratebeer.com/beer/abolitionist-pale-the-funky/554225/,Abolitionist Pale The Funky,2,3.19,Saison / Farmhouse / Grisette,
0.056, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-purple-is-the-new-black/532086/,Abolitionist Purple is the New Black,0,,Flavored - Fruit,
0.053, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-rye-dyed/532077/,Abolitionist Rye Dyed,0,,Specialty Grain - Other,
0.053, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-rye-pale-ale/532076/,Abolitionist Rye Pale Ale,1,3.06,Specialty Grain - Other,
0.052, Abolitionist Ale Works,8/24/2018,www.ratebeer.com/beer/abolitionist-shenandoah-saison/650962/,Abolitionist Shenandoah Saison,2,2.76,Saison / Farmhouse / Grisette,
0.042, Abolitionist Ale Works,7/12/2017,www.ratebeer.com/beer/abolitionist-sour-bouquet/532084/,Abolitionist Sour Bouquet,0,,Sour / Wild Beer,
0.035, Abolitionist Ale Works,12/30/2017,www.ratebeer.com/beer/abolitionist-sour-doah-mango-dry-hop/580621/,Abolitionist Sour Doah (Mango Dry Hop),1,2.98,Sour / Wild Beer,
0.05, Abolitionist Ale Works,8/24/2018,www.ratebeer.com/beer/abolitionist-strawberry-lavender-sour/650968/,Abolitionist Strawberry & Lavender Sour,1,3.09,Sour / Wild Beer,
