abv,brewery,date_added,name,num_ratings,rating,state,style,town,abv_range,category,year_added,ale
0.083,3 Stars Brewing Company,6/3/2016,3 Stars #ultrafresh,14,3.47,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2016,1
0.067,3 Stars Brewing Company,10/6/2018,3 Stars 'Bout That Life,3,3.18,DC,Sour / Wild Beer,Washington,6-7%,Sour,2018,0
0.055,3 Stars Brewing Company,4/17/2017,3 Stars / Aslin Flip the Script,5,3.2,DC,Sour / Wild Beer,Washington,5-6%,Sour,2017,0
0.07200000000000001,3 Stars Brewing Company,5/13/2018,3 Stars / Captain Lawrence 77's and Bonnevilles,3,3.21,DC,IIPA - Imperial / Double IPA,Washington,7-8%,IPA,2018,1
0.065,3 Stars Brewing Company,9/18/2016,3 Stars / Charm City Two Headed Unicorn,9,3.44,DC,Sour / Wild Beer,Washington,6-7%,Sour,2016,0
0.063,3 Stars Brewing Company,5/13/2018,3 Stars / Finback Low Riderz,1,2.94,DC,IPA,Washington,6-7%,IPA,2018,1
0.04,3 Stars Brewing Company,8/20/2017,3 Stars / Interboro D is for Diamond,5,3.32,DC,ISA - Session IPA,Washington,4-5%,IPA,2017,1
0.095,3 Stars Brewing Company,12/29/2018,3 Stars / Interboro Prophets of Outrage,1,3.02,DC,Stout - Imperial,Washington,8% and more,Porter / Stout,2018,0
0.08,3 Stars Brewing Company,5/13/2018,3 Stars / Interboro Tailpip Draggin,2,3.19,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2018,1
0.085,3 Stars Brewing Company,6/5/2017,3 Stars / J. Wakefield Brewing Lupulicious,2,3.18,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2017,1
0.087,3 Stars Brewing Company,8/24/2014,3 Stars / Jerkface Southern Belle (Garlic Chili Jerky),1,2.77,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2014,1
0.085,3 Stars Brewing Company,2/27/2013,3 Stars / Meridian Pint From Russia with Love,11,3.5,DC,Stout - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.085,3 Stars Brewing Company,3/29/2013,3 Stars / Meridian Pint From Russia with Love (Cherry Wood),8,3.32,DC,Stout - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.085,3 Stars Brewing Company,11/13/2014,3 Stars / Millstone Cellars Brandy Lyn,5,3.32,DC,Flavored - Fruit,Washington,8% and more,Specialty,2014,0
0.085,3 Stars Brewing Company,6/22/2017,3 Stars / Ocelot Knives Out,1,3.11,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2017,1
