,name,link
0,3 Stars #ultrafresh,www.ratebeer.com/beer/3-stars-ultrafresh/423469/
1,3 Stars 'Bout That Life,www.ratebeer.com/beer/3-stars-bout-that-life/664099/
2,3 Stars / Aslin Flip the Script,www.ratebeer.com/beer/3-stars-aslin-flip-the-script/505583/
3,3 Stars / Captain Lawrence 77's and Bonnevilles,www.ratebeer.com/beer/3-stars-captain-lawrence-7739s-and-bonnevilles/618050/
4,3 Stars / Charm City Two Headed Unicorn,www.ratebeer.com/beer/3-stars-charm-city-two-headed-unicorn/450469/
6,3 Stars / Finback Low Riderz,www.ratebeer.com/beer/3-stars-finback-low-riderz/618047/
7,3 Stars / Interboro D is for Diamond,www.ratebeer.com/beer/3-stars-interboro-d-is-for-diamond/544764/
8,3 Stars / Interboro Prophets of Outrage,www.ratebeer.com/beer/3-stars-interboro-prophets-of-outrage/691549/
9,3 Stars / Interboro Tailpip Draggin,www.ratebeer.com/beer/3-stars-interboro-tailpip-draggin/618053/
10,3 Stars / J. Wakefield Brewing Lupulicious,www.ratebeer.com/beer/3-stars-j-wakefield-brewing-lupulicious/520251/
11,3 Stars / Jerkface Southern Belle (Garlic Chili Jerky),www.ratebeer.com/beer/3-stars-jerkface-southern-belle-garlic-chili-jerky/283500/
12,3 Stars / Meridian Pint From Russia with Love,www.ratebeer.com/beer/3-stars-meridian-pint-from-russia-with-love/203116/
13,3 Stars / Meridian Pint From Russia with Love (Cherry Wood),www.ratebeer.com/beer/3-stars-meridian-pint-from-russia-with-love-cherry-wood/207835/
15,3 Stars / Millstone Cellars Brandy Lyn,www.ratebeer.com/beer/3-stars-millstone-cellars-brandy-lyn/298902/
16,3 Stars / Ocelot Knives Out,www.ratebeer.com/beer/3-stars-ocelot-knives-out/525175/
17,3 Stars / Oliver B.W. Rye,www.ratebeer.com/beer/3-stars-oliver-bw-rye/151904/
18,3 Stars / Other Half Go-Go Weiss,www.ratebeer.com/beer/3-stars-other-half-go-go-weiss/508501/
19,3 Stars / Other Half Ricky Rosé,www.ratebeer.com/beer/3-stars-other-half-ricky-rose/422880/
20,3 Stars / Oxbow Danny Greene,www.ratebeer.com/beer/3-stars-oxbow-danny-greene/254350/
21,3 Stars / Paradiso Beatrice the Guide,www.ratebeer.com/beer/3-stars-paradiso-beatrice-the-guide/449103/
24,3 Stars / Paradiso: Sun,www.ratebeer.com/beer/3-stars-paradiso-sun/336403/
25,3 Stars / Paradiso: The Moon,www.ratebeer.com/beer/3-stars-paradiso-the-moon/255466/
26,3 Stars / Paradiso: The Moon (Red Wine),www.ratebeer.com/beer/3-stars-paradiso-the-moon-red-wine/270378/
27,3 Stars / Paradiso: Venus,www.ratebeer.com/beer/3-stars-paradiso-venus/318969/
28,3 Stars / Qualia Coffee Desolation,www.ratebeer.com/beer/3-stars-qualia-coffee-desolation/298903/
30,3 Stars 2014 Illuminati Series #1,www.ratebeer.com/beer/3-stars-2014-illuminati-series-1/266724/
31,3 Stars 2014 Illuminati Series #2,www.ratebeer.com/beer/3-stars-2014-illuminati-series-2/278475/
32,3 Stars 2014 Illuminati Series #3,www.ratebeer.com/beer/3-stars-2014-illuminati-series-3/298904/
35,3 Stars 2015 Illuminati #1,www.ratebeer.com/beer/3-stars-2015-illuminati-1/322611/
36,3 Stars 2015 Illuminati #2,www.ratebeer.com/beer/3-stars-2015-illuminati-2/348310/
37,3 Stars 2015 Illuminati #3,www.ratebeer.com/beer/3-stars-2015-illuminati-3/362402/
38,3 Stars 2015 Illuminati #4,www.ratebeer.com/beer/3-stars-2015-illuminati-4/378752/
39,3 Stars 2015 Illuminati #5,www.ratebeer.com/beer/3-stars-2015-illuminati-5/387382/
40,3 Stars 2016 Illuminati #1,www.ratebeer.com/beer/3-stars-2016-illuminati-1/398596/
41,3 Stars 2016 Illuminati #2,www.ratebeer.com/beer/3-stars-2016-illuminati-2/444156/
43,3 Stars 2016 Illuminati #4,www.ratebeer.com/beer/3-stars-2016-illuminati-4/475359/
44,3 Stars 2016 Illuminati #5,www.ratebeer.com/beer/3-stars-2016-illuminati-5/475361/
46,3 Stars 77 Sevilles,www.ratebeer.com/beer/3-stars-77-sevilles/636625/
