abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating,brewery_type,city,country,openbrewdb_id,latitude,longitude,phone,postal_code,state,street,updated_at,website_url
0.049,Blue Earl Brewing Company,12/5/2015,www.ratebeer.com/beer/blue-earl-ain39t-nobody39s-business-scottish-ale/379699/,Blue Earl Ain't Nobody's Business Scottish Ale,0,,Scottish Ale,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.054000000000000006,Blue Earl Brewing Company,2/16/2017,www.ratebeer.com/beer/blue-earl-angel39s-red-shoes/488346/,Blue Earl Angel's Red Shoes,1,3.13,Sour - Flanders Red / Bruin,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.051,Blue Earl Brewing Company,11/21/2015,www.ratebeer.com/beer/blue-earl-bebop/376630/,Blue Earl Bebop,1,2.85,Pilsener / Pils / Pilsner,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.10300000000000001,Blue Earl Brewing Company,2/22/2017,www.ratebeer.com/beer/blue-earl-big-boss-man/490023/,Blue Earl Big Boss Man,2,3.21,BarleyWine / WheatWine / RyeWine,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.11800000000000001,Blue Earl Brewing Company,12/5/2015,www.ratebeer.com/beer/blue-earl-big-joe-imperial-honey-porter/379682/,Blue Earl Big Joe Imperial Honey Porter,2,3.05,Porter - Imperial,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.065,Blue Earl Brewing Company,11/21/2015,www.ratebeer.com/beer/blue-earl-black-night-is-falling/376633/,Blue Earl Black Night Is Falling,1,3.09,IPA - Black/Brown/Cascadian Dark,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.064,Blue Earl Brewing Company,2/16/2017,www.ratebeer.com/beer/blue-earl-black-satin/488152/,Blue Earl Black Satin,2,3.07,Porter,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.067,Blue Earl Brewing Company,2/16/2017,www.ratebeer.com/beer/blue-earl-blue-on-black/488174/,Blue Earl Blue on Black,1,3.06,Smoked - Rauchbier,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.085,Blue Earl Brewing Company,11/21/2015,www.ratebeer.com/beer/blue-earl-blue-train/376614/,Blue Earl Blue Train,7,3.3,IIPA - Imperial / Double IPA,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.06,Blue Earl Brewing Company,9/8/2016,www.ratebeer.com/beer/blue-earl-blues-power/447964/,Blue Earl Blues Power,1,2.96,Pale Ale - American / APA,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.09,Blue Earl Brewing Company,11/21/2015,www.ratebeer.com/beer/blue-earl-body-soul-scotch-ale/376609/,Blue Earl Body & Soul Scotch Ale,4,3.19,Scotch Ale / Wee Heavy,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.040999999999999995,Blue Earl Brewing Company,12/5/2015,www.ratebeer.com/beer/blue-earl-boogie-chillen-session-ipa/379684/,Blue Earl Boogie Chillen Session IPA,0,,ISA - Session IPA,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.067,Blue Earl Brewing Company,9/9/2016,www.ratebeer.com/beer/blue-earl-bop-gun/448241/,Blue Earl Bop Gun,1,3.09,Saison / Farmhouse / Grisette,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.12,Blue Earl Brewing Company,5/23/2018,www.ratebeer.com/beer/blue-earl-dark-star/620791/,Blue Earl Dark Star,1,3.19,Stout - Imperial,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.061,Blue Earl Brewing Company,12/5/2015,www.ratebeer.com/beer/blue-earl-dust-my-broom-brown-ale/379698/,Blue Earl Dust My Broom Brown Ale,0,,Brown Ale,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.065,Blue Earl Brewing Company,11/21/2015,www.ratebeer.com/beer/blue-earl-earl39s-juke-pale-ale/376621/,Blue Earl Earl's Juke Pale Ale,1,2.94,Pale Ale - English,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
0.061,Blue Earl Brewing Company,12/5/2015,www.ratebeer.com/beer/blue-earl-give-me-back-my-wig-amber/379696/,Blue Earl Give Me Back My Wig Amber,0,,Red Ale / Intl Amber Ale,,micro,Smyrna,United States,1739,39.2809684444444,-75.6241805555556,,19977-3715,Delaware,210 Artisan Dr,2018-08-24T00:26:00.268Z,http://www.blueearlbrewing.com
