,brewery_type,city,country,id,latitude,longitude,name,phone,postal_code,state,street,tag_list,updated_at,website_url
0,micro,Birmingham,United States,2,33.524521,-86.774322,Avondale Brewing Co,2057775456,35222-1932,Alabama,201 41st St S,[],2018-08-23T23:19:57.825Z,http://www.avondalebrewing.com
1,micro,Tuscaloosa,United States,4,33.1984907123707,-87.5621551272424,Band of Brothers Brewing Company,2052665137,35401-4653,Alabama,1605 23rd Ave,[],2018-08-23T23:19:59.462Z,http://www.bandofbrosbrewing.com
2,micro,Birmingham,United States,44,33.5128492349817,-86.7914000624146,Trim Tab Brewing,2057030536,35233-3401,Alabama,2721 5th Ave S,[],2018-08-23T23:20:31.423Z,http://www.trimtabbrewing.com
3,micro,Huntsville,United States,46,34.7277523,-86.5932014,Yellowhammer Brewery,2569755950,35805-3046,Alabama,2600 Clinton Ave W,[],2018-08-23T23:20:33.102Z,http://www.yellowhammerbrewery.com
5,micro,Gadsden,United States,3,34.016888,-86.005006,Back Forty Beer Co,2564674912,35901-3361,Alabama,200 N 6th St,[],2018-08-23T23:19:58.654Z,http://www.backfortybeer.com
6,brewpub,Huntsville,United States,5,34.7327236530612,-86.5858393061225,Below the Radar Brewing Co,2564696617,35801-4837,Alabama,220 Holmes Ave NE,[],2018-08-23T23:20:00.300Z,http://www.btrbrew.com
7,micro,Gulf Shores,United States,6,30.278051,-87.683039,Big Beach Brewing Company,2519482337,36542-3104,Alabama,300 E 24th Ave,[],2018-08-23T23:20:01.170Z,http://www.bigbeachbrewing.com
8,micro,Madison,United States,9,,,Blue Pants Brewery,2566796330,35758-8675,Alabama,"500 Lanier Rd, Bld 1 - Ste A",[],2018-08-11T21:35:43.498Z,http://www.bluepantsbrew.com
9,micro,Birmingham,United States,13,,,Cahaba Brewing Co,2059669444,35222-2911,Alabama,4500 5th Ave S Ste C,[],2018-08-11T21:35:43.648Z,http://www.cahababrewing.com
10,micro,Phenix City,United States,15,,,Chattahoochee Brewing Co,3345590663,36867-5128,Alabama,505 13th St Ste A,[],2018-08-11T21:35:43.723Z,http://www.beerontheriver.com
11,micro,Montgomery,United States,17,,,"Common Bond Brewers, LLC",3346762292,36104,Alabama,424 Bibb Street Suite 150,[],2018-08-11T21:35:43.787Z,http://www.commonbondbrewers.com
12,micro,Dothan,United States,22,,,Folklore Brewing,3347022337,36301-9521,Alabama,153 Mary Lou Ln,[],2018-08-11T21:35:43.941Z,http://www.folklorebrewing.com
13,micro,Cullman,United States,24,,,Goat Island Brewing,2565909081,35055,Alabama,1646 A John H Cooper Drive,[],2018-08-11T21:35:43.999Z,http://www.goatislandbrewing.com
14,micro,Birmingham,United States,34,,,Red Hills Brewing Co,2055822897,35209-2581,Alabama,2823 Central Ave Ste 107,[],2018-08-11T21:35:44.279Z,http://www.redhillsbrew.com
16,micro,Tuscaloosa,United States,8,33.2106175454545,-87.565915,Black Warrior Brewing Co.,,35401-1542,Alabama,2216 University Blvd,[],2018-08-23T23:20:02.508Z,http://www.blackwarriorbrewing.com
17,micro,Florence,United States,10,34.8041295,-87.6597052887684,Bluewater Brewing Co,2562751221,35630-4810,Alabama,318 S Royal Ave,[],2018-08-23T23:20:04.204Z,http://www.facebook.com/pg/BluewaterBrewingCompanyInc
21,brewpub,Anniston,United States,16,33.6601671,-85.8337740514949,Cheaha Brewing Co,2567707300,36201-4526,Alabama,1208 Walnut Ave,[],2018-08-23T23:20:08.838Z,http://www.cheahabrewingcompany.com
22,micro,Decatur,United States,18,34.6041206530612,-86.9866330204082,Cross-Eyed Owl Brewing Co.,2564310931,35601-2301,Alabama,105 1st Ave NE,[],2018-08-23T23:20:10.679Z,http://www.xeobrewing.com
23,micro,Tuscaloosa,United States,19,33.1999747350306,-87.5437361470987,Druid City Brewing,2058868140,35401-3439,Alabama,607 14th St,[],2018-08-23T23:20:11.558Z,http://www.druidcitybrewing.com
24,micro,Fairhope,United States,20,30.516291,-87.898282,Fairhope Brewing Co,2512797517,36532-3684,Alabama,914 Nichols Ave,[],2018-08-23T23:20:12.518Z,
26,micro,Birmingham,United States,23,33.5141593469388,-86.7940615102041,Ghost Train Brewing Co,2053702487,35233-2619,Alabama,2616 3rd Ave S,[],2018-08-23T23:20:14.678Z,http://www.ghosttrainbrewing.com
27,micro,Birmingham,United States,25,33.5075946077931,-86.8121799456595,Good People Brewing Co,6154984165,35233-1415,Alabama,114 14th St S,[],2018-08-23T23:20:16.507Z,http://www.goodpeoplebrewing.com
28,contract,Mobile,United States,27,30.6847432069419,-88.051261838738,Haint Blue Brewing Company,,36602,Alabama,806 Monroe Street,[],2018-08-23T23:20:18.151Z,http://haintbluebrew.com
29,micro,Huntsville,United States,28,34.7277523,-86.5932014,InnerSpace Brewing Company,2564895599,35805-3014,Alabama,2414 Clinton Ave W,[],2018-08-23T23:20:19.029Z,http://www.innerspacebrewing.com
30,micro,Huntsville,United States,29,34.746475,-86.585242,Mad Malts Brewery & Tap Room,2564243543,35801-4634,Alabama,109 Maple Ave NW,[],2018-08-23T23:20:19.899Z,http://www.madmaltsbrewing.com
31,micro,Guntersville,United States,30,34.3387368412698,-86.3121603492064,Main Channel Brewing Company,2569605070,35976-2113,Alabama,2090 Gunter Ave,[],2018-08-23T23:20:20.700Z,http://www.mainchannelbeer.com
32,micro,Madison,United States,31,34.6932934545455,-86.7492240909091,Old Black Bear Brewing,2568504639,35758-1813,Alabama,208 Main St,[],2018-08-23T23:20:21.567Z,
34,micro,Opelika,United States,33,32.6493954206225,-85.3787541825702,Red Clay Brewing Company,3347375409,36801-4344,Alabama,704 N Railroad Ave,[],2018-08-23T23:20:22.832Z,http://www.redclaybrewingcompany.com
35,micro,Madison,United States,35,34.6728014,-86.7740173304273,Rocket Republic Brewing Company,2563254677,35758-8991,Alabama,289 Production Ave,[],2018-08-23T23:20:24.482Z,http://www.rocketrepublicbrewing.com
36,micro,Huntsville,United States,36,34.7277523,-86.5932014,Salty Nut Brewery,2567138877,35805-3014,Alabama,2406 Clinton Ave W,[],2018-08-23T23:20:25.319Z,http://www.saltynutbrewery.com
38,micro,Mobile,United States,38,30.6879563,-88.0493871301972,Serda Brewing Company,2519299349,36602-1720,Alabama,600 Government St,[],2018-08-23T23:20:26.545Z,http://www.serdabrewing.com
40,micro,Florence,United States,40,34.8016657,-87.668929940884,"Singin' River Brewing Company, LLC",2567600000,35630-5764,Alabama,526 E College St,[],2018-08-23T23:20:27.838Z,http://www.singinriverbrewing.com
41,micro,Huntsville,United States,41,34.7277523,-86.5932014,Straight to Ale,2566039096,35805-3046,Alabama,2610 Clinton Ave W,[],2018-08-23T23:20:28.760Z,http://www.straighttoale.com
42,micro,Jasper,United States,42,33.830796,-87.278675,Tallulah Brewing Company,2055308555,35501-5330,Alabama,1804 4th Ave S,[],2018-08-23T23:20:29.640Z,
43,micro,Jasper,United States,45,33.832359,-87.28338,Twisted Barley Brewing Company,2052653253,35501-5351,Alabama,520 19th St W,[],2018-08-23T23:20:32.254Z,
44,brewpub,Montgomery,United States,43,,,The Railyard Brewing Co,3342620080,36104-2573,Alabama,12 W Jefferson St Ste 100,[],2018-08-11T21:35:44.563Z,http://www.railyardbrewingcompany.com
45,brewpub,Huntsville,United States,26,34.7301050335608,-86.5840513571761,Green Bus Brewing,2569902477,35801-4233,Alabama,206 Eustis Ave SE,[],2018-08-23T23:20:17.307Z,http://www.greenbusbrewing.com
0,micro,Wasilla,United States,55,61.5752695,-149.4127103,Bearpaw River Brewing Co,,99654-7679,Alaska,4605 E Palmer Wasilla Hwy,[],2018-08-23T23:20:40.743Z,http://bearpawriverbrewing.com
1,micro,Anchorage,United States,76,61.1384893547315,-149.879076042937,King Street Brewing Co,9073365464,99515,Alaska,9050 King Street,[],2018-08-23T23:20:57.179Z,http://www.kingstreetbrewing.com
2,micro,Juneau,United States,54,58.3017758843016,-134.407726539973,Barnaby Brewing Company,9074190916,99801-1225,Alaska,206 N Franklin St,[],2018-08-23T23:20:39.859Z,http://www.barnabybrew.com
3,brewpub,Healy,United States,47,,,49th State Brewing Co,,99743,Alaska,248 Parks Hwy 5 Mile,[],2018-08-11T21:35:44.679Z,
4,micro,Palmer,United States,51,,,Arkose Brewery,9077462337,99645-6689,Alaska,650 E Steel Loop,[],2018-08-11T21:35:44.816Z,http://www.arkosebrewery.com
5,micro,Sitka,United States,53,,,Baranof Island Brewing Co,9077472739,99835-9759,Alaska,1209 Sawmill Creek Rd Ste A,[],2018-08-11T21:35:44.879Z,http://www.baranofislandbrewing.com
6,micro,Anchorage,United States,59,,,Cynosure Brewing,9075632966,99518-1363,Alaska,144 E Potter Dr Unit E,[],2018-08-11T21:35:45.165Z,
7,micro,Talkeetna,United States,60,,,Denali Brewing Company,9077332536,99676,Alaska,37083 Talkeetna Spur Rd,[],2018-08-11T21:35:45.194Z,http://www.denalibrewing.com
8,micro,Gakona,United States,63,,,Gakona Brewing Company,,99586-0336,Alaska,Mile 0.5 Tok Cutoff Hwy,[],2018-08-11T21:35:45.288Z,
9,brewpub,Anchorage,United States,65,,,Glacier Brewhouse,9072742739,99501-2129,Alaska,737 W 5th Ave Ste 110,[],2018-08-11T21:35:45.348Z,http://www.glacierbrewhouse.com
10,micro,Homer,United States,66,,,"Grace Ridge Brewing, Inc.",,99603-7905,Alaska,3388 B St Suite 2,[],2018-08-11T21:35:45.387Z,
11,micro,Homer,United States,69,,,Homer Brewing Co,,99603-7945,Alaska,1411 Lake Shore Dr,[],2018-08-11T21:35:45.514Z,
12,micro,Kenai,United States,74,,,Kassik's Brewery,,99611-9677,Alaska,47160 Spruce Haven St,[],2018-08-11T21:35:45.692Z,
13,micro,Eagle River,United States,82,,,Odd Man Rush,9076962337,99577-8095,Alaska,10930 Mausel St Ste A1,[],2018-08-11T21:35:45.962Z,http://www.oddmanrushbrewing.com
14,brewpub,Nenana,United States,86,,,RoughWoods Inn,9078325299,99760-9999,Alaska,623 North A St,[],2018-08-11T21:35:46.096Z,http://www.roughwoodsinn.biz
15,brewpub,Seward,United States,87,,,Seward Brewing,9074220337,99664,Alaska,139 4th Ave,[],2018-08-11T21:35:46.137Z,http://www.sewardbrewingcompany.com
16,brewpub,Skagway,United States,89,,,Skagway Brewing Co,9079832759,99840-9800,Alaska,641 Broadway St Ste 946,[],2018-08-11T21:35:46.203Z,http://www.skagwaybrewing.com
17,brewpub,Anchorage,United States,48,61.2197366,-149.895819630259,49th State Brewing Co - Anchorage,9076832739,99501-2104,Alaska,717 W 3rd Ave,[],2018-08-23T23:20:34.898Z,http://www.49statebrewing.com/
18,regional,Juneau,United States,49,58.3568123068526,-134.491876286925,Alaskan Brewing Co.,9077805866,99801-9540,Alaska,5429 Shaune Dr,[],2018-08-23T23:20:35.752Z,http://www.alaskanbeer.com
19,micro,Anchorage,United States,50,61.1385311,-149.8893581,Anchorage Brewing Co,9073605104,99515-1901,Alaska,148 W 91st Ave,[],2018-08-23T23:20:36.630Z,http://www.anchoragebrewingcompany.com
20,brewpub,Anchorage,United States,57,61.2225517048454,-149.843763795249,Broken Tooth Brewing Co,9072784999,99501-1815,Alaska,2021 Spar Ave,[],2018-08-23T23:20:42.576Z,
21,micro,Cooper Landing,United States,58,60.4952185,-149.847849500835,"Cooper Landing Brewing Company, LLC.",9072236101,99572,Alaska,,[],2018-08-23T23:20:42.968Z,http://www.cooperlandingbrewing.com
22,brewpub,Juneau,United States,61,58.301309,-134.406956,Devil's Club Brewing,9077232337,99801-1223,Alaska,100 N Franklin St,[],2018-08-23T23:20:45.517Z,http://www.devilsclubbrewing.com
24,micro,Girdwood,United States,64,60.9578421,-149.1540907,Girdwood Brewing Company,907783,99587-0058,Alaska,2700 Alyeska Highway,[],2018-08-23T23:20:47.669Z,http://www.girdwoodbrewing.com
