description,names,links
"“Gentle nose gives way to soft citrus sweetness in the sip that pulses in waves. Nicely balanced on the light side of the witbier spectrum with apparent but not excessive yeast esters. Very light yet interesting depth. A touch of bitterness rolls in under those gentle orange waves, offering structure without weighing it down.”",Upland Brewing Wheat Ale,/review/wheat-ale
"“A propulsive aroma with familiar hefe notes of sweet banana and clove melds into a structured body with a touch of hops bitterness that keeps the beer honest and avoids the typical clichés. Like a muscled linebacker, the body is big but lean, efficient, and quick on its toes, and the deft handling of yeast produces a level of sophistication that’s hard to beat.”",Live Oak Hefeweizen,/review/liveoakhefeweizen
"“Softly sweet passion fruit on the nose is subtle but distinctive. The flavor, however, is intensely passion fruit—overwhelmingly so—at the expense of any base-beer character. It does, thankfully, steer clear of the worst phenolic excesses of the fruit, with a seltzer-like spritzy body that finishes clean. Light, tart, crisp, and fruity.”",Ecliptic Brewing Cassiopea Catharina,/review/cassiopea-catharina
"“Crisp yet mild lemony acidity in the flavor is punctuated by a light nose that only hints at the tartness. It’s clean and succinct, not too sweet and not too dry, like a San Pellegrino Limonata with its own adult kick.”",Creature Comforts Athena (2019),/review/athena2019
"“Musty, earthy hops and a touch of Colombian coffee on the nose. The flavor leans toward hops-derived citrus, that earthy tea blend of lemon and lime with a subtle spice underpinning it. It’s clever yet satisfying, eschewing more obvious Citra notes in favor of a winding, complex path to a similar destination.”",Brooklyn Brewery Bel Air Sour,/review/bel-air-sour
“Very subtle tartness and fruit on the nose with some chalky fermentation character that transitions to crisp and crackery on the sip. Peppery notes keep it brisk and bright. The 6-pack abs of witbiers.”,Allagash Brewing White,/review/white
"“Strong lemon on the nose overpowers everything. On the sip, the hops push forward with a balanced bitterness over the citrus bite. It flirts with lemon-cleaner disaster but pulls through in the finish with a balance of sweet and sour.”",Silver City Neon Bloom,/review/neon-bloom
"“It forgoes the expected sour intensity in favor of a measured acidity that’s both palatable and endearing. The deep pink color is fascinating, and any expected excessive fruit acidity is quickly tempered by a smoothie-like softness.”",Odell Brewing Sippin' Pretty ,/review/sippin-pretty
"“Overt sweet orange citrus on the nose, then the sweetness subsides as a distinct herbal bitterness dominates the palate with glimpses of that citrus peeking through.”",New Belgium Fat Tire Belgian White,/review/fat-tire-belgian-white
"“Caramel apple, sandalwood, and a touch of musk and clove on the nose. The sip is toffee, bittersweet apple, almond butter, and wormwood baked into the most savory loaf of banana nut bread you’ve ever tasted. Finishes bright with a palate-cleansing sensation that belies its murky brown body. A mind-bending beer that defies any visual expectations ascribed to it.”",Live Oak  Primus Weizenbock ,/review/primus-weizenbock
"“Hops push a deliciously deceiving citrus nose, but the flavor makes their contribution more apparent with a firm but palatable bitterness that sets this hoppy wheat apart. It’s not a full-on IPA, but what appear to be late-addition and cold-side hops turn this run-of-the-mill wheat into something more interesting to today’s hops fans.”",Breckenridge Brewery Snow Glare,/review/snow-glare
"“Slightly phenolic-leaning, with an herbal-tea character more than clove that adds depth. Finishes a touch sweeter than some to balance the spice, but a pleasant beer nonetheless.”",Telegraph Brewing White ale,/review/white-ale
"“Tangy carbonic bite pushes in front of a soft wheat character but quickly drops off into less body than one might expect from a hefe. A touch thin and a bit light on character and personality, as it foregoes yeast esters for a more accessible drinkability.”",Squatters American Wheat Hefeweizen,/review/american-wheat-hefeweizen
"“Bursting with pie spice, dark cherry, pie crust, and a sweet yet savory and meaty cherry note, it finishes with an almost Dr. Pepper–like plum and fig richness.”",Commonhouse Aleworks Barony Whipper,/review/barony-whipper
“Pillowy lemon softness gently rolls across your tongue with a taut and economical body. But it finishes snappy with a hint of lemon-peel bitterness.”,Brasserie du Bocq Blanche de Namur (2019),/review/blanche-de-namur2019
"“Big and bold hefeweizen nose with balanced esters and phenols cranked up in intensity. Drops into a relatively dry mid sip and a clean finish. Soft, inviting but not sweet or flabby, and hopped with a deft hand.”",Troegs Brewing Dream Weaver Wheat,/review/dream-weaver-wheat
"“Intense blueberry on the nose offers an enticing aroma that draws you in, yet the fruit character falls off in the sip into a slightly bitter and thin body. The aroma is the star of the show, but it’s enticing and draws you into a beer that’s much more drinkable than some of its cloying contemporaries.”",Wasatch Blueberry Hefeweizen,/review/blueberry-hefeweizen
"“A general wheatiness underpins the nose and flavor, but an embrace of broad drinkability bypasses any distinct approach to character—it’s a wallflower.”",Epic Brewing Intermountain Wheat,/review/intermountain-wheat
“Kudos to the brewer for tackling such a flavor-forward beer that sacrifices so much beer history to the altar of audience-pleasing flavor. It’s a confident move that could have backfired. We hate ourselves for wanting more.”,Bouevard Brewing Bou Lou,/review/bou-lou
"“Light toasty wheat-bread nose with hints of honey and pine forest in the summer sun. On the sip, doughy with bit of sweet caramel and orange peel.”",Andechser  Weissbier Dunkel,/review/weissbier-dunkel
"“A mild nose belies a big flavor as a touch of American-style bitterness plays off citrus fruitiness in the sip. It finishes with a cleansing bitterness, but a touch of savory citrus zest lingers on.”","Westbound & Down Don't Hassle the ""Hef""",/review/dont-hassle-the-hef
"A fruity nose sets up an expectation for a sweet beer, but the light and attenuated body delivers a sip that’s less cloying than one would expect. Still, it’s a touch watery, and if you go looking for the roundness of a wheat beer, you’ll be looking past your next sip.”",Wasatch Apricot Hefeweizen,/review/apricot-hefeweizen
“A savory and borderline smoky nose sets up this lower-key kettle sour that trades fruitiness for a richness that could be confused for a brown-ale body. It’s intriguing yet confounding.”,Perrin Brewing Dragon Fruit Berliner,/review/dragon-fruit-berliner
"“Nose is balanced between beer character and fruit notes—a touch of sulfur adds a Pilsner- or Kölsch-style note with hints of fruit in the background. On the sip, the fruit is equally balanced and not overwhelming, and the touch of bitterness adds to the drinkability.”",Kona Brewing  Wailua Wheat,/review/wailua-wheat
"“A citrus-leaning nose with some of the familiar banana and clove transitions into a spicy sip with lemongrass and a bit of herbal bite. Sits wide on the tongue with a lingering fruitiness, while a yeast bitterness barrels down the middle.”",KC Bier Co Hefeweizen,/review/KChefeweizen
,Badger State Brewing Cran-Delusion,/review/cran-delusion
"“Bright fruity nose with a PEZ Candy chalkiness. Flavor is more citrus than typical yeast notes, but it’s lively and energetic without observation squashing its quantum possibility. Not quite as crisp as some, but a pleasant sip.”",Avery Brewing White Rascal (2019),/review/white-rascal2019
"“An outrageously magenta color sets up wild expectations. The flavor is equal parts earthy, sweet, and acidic, with a balanced sourness that highlights the fruitier elements without seeming cliché. A subtle spice underpins it, offering structure but no bitterness.”

",Ska Brewing Pink Vapor Stew,/review/pink-vapor-stew
"“Herbal-tea notes on the nose steer just clear of potpourri, but a spicy body backed by sweet grapefruit and orange esters make for a characterful take on the traditional style.”",Schneider Weisse Edel-Weisse,/review/edel-weisse
"“An uneventfully soft nose blooms into a brightly bitter, pithy grapefruit/lime/Meyer-lemon note. It’s in your face and unapologetic, hinting at sweet but never cloying, and crisply tart in the finish. At first take, it’s a bit unyielding, but further sips confirm that it’s curiously sophisticated.”",MadTree Brewing Poets,/review/poets
"“A touch of fruit and spice in the nose, but the flavor fires big salvos of berries backed by spice depth. It’s not a sweetly one-note beer but rather savory and rich with bright highlights of sweet acidity. Beautiful color.”",Finback Brewery BlueShift,/review/blueshift
"“Satisfying raspberry on the nose with a bright fruit character that seems effortless and natural. On the sip, it’s a well-made raspberry wheat—clean, crisp, assertively fruit- forward. Solidly American in its construction and exactly as advertised. Great clarity in the fruit character.”",Eddyline  Raspberry Wheat,/review/raspberry-wheat
"“A touch chalky on the nose, and the sip seems undefined with vague hints of bubblegum and the mildest Asian spice. Would pair well with Indian or Thai curry.”",Funkwerks White,/review/funkwerkswhite
"“Mild and understated in the nose with a vague medicinal note. A bit flat and undercarbonated, which adds a weight that pulls it down. We’re left wanting more definition, more focus as it plods through the sip.”",50 West Brewing Doom Pedal,/review/doom-pedal
N/A,Second Self Beer Thai Wheat,/review/thai-wheat
“A clean nose with a cucumber-like refreshing note. Flavor underscores that cucumber brightness as a light acidity and just a touch of bready malt provide some substance to the sip.”,Fernson Brewing Curio,/review/curio
"“Brief intro of American-style bitterness keeps it cleaner and more direct, adds a sharpness over the sweet orange blossom–honey nose from the malt. Not particularly wheaty or soft, but a middle-of-the-road drinker.”",Boulevard Unfiltered Wheat (2018),/review/unfiltered-wheat2018
“Flabby but gratuitous with an amorphous yet unspecific nose. The body vacillates between lilting bitterness and a broad fruitiness. A better cuddle partner than workout pal.”,Badger State Brewing Waloon Witbier,/review/waloon-witbier
“The sip hits squarely orange with just a touch of sweetness and a pleasant pithy bitterness that keeps it from being cloying. Finishes with lingering orange candy.”,Verboten Brewing TOSO,/review/toso
"“The intense orange color tells you exactly what this beer intends to be. It’s sweet. It’s not hefe-like in the least. It’s a slightly alcoholic soda with a vaguely hefe base, but it’s better than those adjectives suggest thanks to the quality of fruit flavor.”",Schofferhofer Hefeweizen Grapefruit,/review/hefeweizen-grapefruit
"“Visually smart, with a perfect golden haze. Light bready nose and body trending toward the thin side, but the banana-orange notes build with additional sips—this is one to drink by the pint, not the taster.”",Pyramid Breweries Hefeweizen,/review/pyramidhefeweizen
"“Soft malt sweetness and a touch of grassy hops in the nose lead into a bright citrusy, high-key, effervescent sip with a carbonic bite that rolls into a touch of earthy bitterness in the finish. Not as malt-heavy as some.”",Odell Brewing Easy Street Wheat,/review/easy-street-wheat2018
"“Blurring the lines between IPA and wheat, this ‘New England Wheat’ is heavy with American hops on the nose. It is the hophead’s wheat—onion and garlic hops notes, a bit of juiciness, and not a whole lot of beer in there to support the strong hops notes. But all critiques aside, we’d take this over most session IPAs.”",Lord Hobo Brewing Angelica,/review/angelica
"“Only the briefest hit of honey malt comes through in the search for a nose, but the sip brings more oxidative honey heft and an indistinct bitterness.”",Erdinger Weissbier,/review/erdingerweissbier
"“Clean and well-made with some sweetness and coffee flavors mixed with smoked herring and a touch of barbecue. There’s subtle malt complexity, almost like a light rauchbier. Very light overall.”",Aslan Brewing Dunkelweizen,/review/dunkelweizen
"“A yeasty nose with light hits of lemon and orange. Body is light but supportive. Carbonation is lively and bright. The sum is a hefe that feels lighter than its apparent ABV, weightless but not as strong in character and flavor as others.”",1623 Brewing Hefeweizen,/review/1623hefeweizen
"“A classic hefe nose with mid-level yeast character that hits the golden mean. Flavor is familiar and comforting, with a lively body. Maybe a touch sweet in a critical estimation, but the character of the flavor won us over.”",Starr Hill Brewery The Love,/review/the-love
"“A clinically synthetic mango nose leaves no question what is in the beer. On the sip, the apparent sweetness fades, and the borderline phenolic mango note clashes with a building bitterness, leading to an unresolved battle in the lingering finish.”",Blue Moon Mango Wheat,/review/mango-wheat
"“A muted nose blunts the initial impact, and an American hand at hopping offers a bit more bitterness as the mild herbal notes overpower the yeast. It’s not bitter, per se, but more firm than flowe",Widmer Brothers Hefeweizen,/review/widmerhefeweizen
"“Tanned leather and fresh tobacco leaf on the nose hint at the age. Flavor is candied orange, tree bark, fruit gummy. Age has not been kind to this beer, and it’s not nearly as satisfying as we’d assume it would be, fresh.”",Wektenburger Kloster  Hefeweisbier,/review/hefeweisbier
"“Soft and creamy nose with a touch of dried flower and strawberry smoothie. On the sip, dried hibiscus tea that avoids any connotation of sweet in favor of a layered herbal approach. Thoughtfully constructed.”",Upland Brewing Petal to the Kettle (2019),/review/UPLANDpetal-to-the-kettle
"“Bright and bubbly with orange and tangerine notes emerging from an energetic and lively body. It has all the pep of a high-school cheerleader, but finishes reasonably dry in a drinkable way.”",Ritual Brewing Wit's End,/review/wits-end
