abv,address,brewery,country,date_added,google_map_link,link,name,num_ratings,postal_code,rating,state,style,style_rating,town
0.083,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,6/3/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-ultrafresh/423469/,3 Stars #ultrafresh,14,20011,3.47,Washington DC,IIPA - Imperial / Double IPA,41.0,"Washington, DC"
0.067,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,10/6/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-bout-that-life/664099/,3 Stars 'Bout That Life,3,20011,3.18,Washington DC,Sour / Wild Beer,,"Washington, DC"
0.055,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,4/17/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-aslin-flip-the-script/505583/,3 Stars / Aslin Flip the Script,5,20011,3.2,Washington DC,Sour / Wild Beer,,"Washington, DC"
0.072,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/13/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-captain-lawrence-7739s-and-bonnevilles/618050/,3 Stars / Captain Lawrence 77's and Bonnevilles,3,20011,3.21,Washington DC,IIPA - Imperial / Double IPA,,"Washington, DC"
0.065,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,9/18/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-charm-city-two-headed-unicorn/450469/,3 Stars / Charm City Two Headed Unicorn,9,20011,3.44,Washington DC,Sour / Wild Beer,41.0,"Washington, DC"
,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,9/26/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-daikaya-the-sansho-panza/289841/,3 Stars / Daikaya The Sansho Panza,0,20011,,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.063,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/13/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-finback-low-riderz/618047/,3 Stars / Finback Low Riderz,1,20011,2.94,Washington DC,IPA,,"Washington, DC"
0.04,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,8/20/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-interboro-d-is-for-diamond/544764/,3 Stars / Interboro D is for Diamond ,5,20011,3.32,Washington DC,ISA - Session IPA,,"Washington, DC"
0.095,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,12/29/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-interboro-prophets-of-outrage/691549/,3 Stars / Interboro Prophets of Outrage,1,20011,3.02,Washington DC,Stout - Imperial,,"Washington, DC"
0.08,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/13/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-interboro-tailpip-draggin/618053/,3 Stars / Interboro Tailpip Draggin,2,20011,3.19,Washington DC,IIPA - Imperial / Double IPA,,"Washington, DC"
0.085,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,6/5/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-j-wakefield-brewing-lupulicious/520251/,3 Stars / J. Wakefield Brewing Lupulicious,2,20011,3.18,Washington DC,IIPA - Imperial / Double IPA,,"Washington, DC"
0.087,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,8/24/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-jerkface-southern-belle-garlic-chili-jerky/283500/,3 Stars / Jerkface Southern Belle (Garlic Chili Jerky),1,20011,2.77,Washington DC,Strong Ale - American,,"Washington, DC"
0.085,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,2/27/2013,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-meridian-pint-from-russia-with-love/203116/,3 Stars / Meridian Pint From Russia with Love,11,20011,3.5,Washington DC,Stout - Imperial,39.0,"Washington, DC"
0.085,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,3/29/2013,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-meridian-pint-from-russia-with-love-cherry-wood/207835/,3 Stars / Meridian Pint From Russia with Love (Cherry Wood),8,20011,3.32,Washington DC,Stout - Imperial,,"Washington, DC"
,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,9/13/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-mike-isabella-concepts-mic-saison/551081/,3 Stars / Mike Isabella Concepts (MIC) Saison,3,20011,3.1,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.085,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,11/13/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-millstone-cellars-brandy-lyn/298902/,3 Stars / Millstone Cellars Brandy Lyn,5,20011,3.32,Washington DC,Flavored - Fruit,,"Washington, DC"
0.085,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,6/22/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-ocelot-knives-out/525175/,3 Stars / Ocelot Knives Out,1,20011,3.11,Washington DC,IIPA - Imperial / Double IPA,,"Washington, DC"
0.07,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,8/18/2011,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-oliver-bw-rye/151904/,3 Stars / Oliver B.W. Rye,5,20011,3.14,Washington DC,Specialty Grain - Other,,"Washington, DC"
0.065,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,4/27/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-other-half-go-go-weiss/508501/,3 Stars / Other Half Go-Go Weiss,5,20011,3.32,Washington DC,Sour / Wild Beer,,"Washington, DC"
0.067,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,6/1/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-other-half-ricky-rose/422880/,3 Stars / Other Half Ricky Rosé,8,20011,3.64,Washington DC,Sour / Wild Beer,,"Washington, DC"
0.08,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,3/7/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-oxbow-danny-greene/254350/,3 Stars / Oxbow Danny Greene,9,20011,3.17,Washington DC,IIPA - Imperial / Double IPA,12.0,"Washington, DC"
0.06,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,9/12/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-paradiso-beatrice-the-guide/449103/,3 Stars / Paradiso Beatrice the Guide,3,20011,3.15,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.06,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,8/30/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-paradiso-mars/445937/,3 Stars / Paradiso: Mars,0,20011,,Washington DC,Bière de Garde / de Mars,,"Washington, DC"
,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,6/10/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-paradiso-mercury/270379/,3 Stars / Paradiso: Mercury,7,20011,3.04,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.051,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/27/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-paradiso-sun/336403/,3 Stars / Paradiso: Sun,1,20011,3.02,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.055,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,3/14/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-paradiso-the-moon/255466/,3 Stars / Paradiso: The Moon,3,20011,3.0,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.055,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,6/10/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-paradiso-the-moon-red-wine/270378/,3 Stars / Paradiso: The Moon (Red Wine),3,20011,3.12,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.051,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,3/5/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-paradiso-venus/318969/,3 Stars / Paradiso: Venus,2,20011,2.81,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.096,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,11/13/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-qualia-coffee-desolation/298903/,3 Stars / Qualia Coffee Desolation,23,20011,3.32,Washington DC,Porter - Imperial,16.0,"Washington, DC"
