abv,address,brewery,country,date_added,google_map_link,link,name,num_ratings,postal_code,rating,state,style,style_rating,town
0.071,12227 Wilkins Ave, 7 Locks Brewing,USA,2/8/2019,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-suspended-collaboration-ipa/703113/,7 Locks / Suspended Collaboration IPA,2,20852,,Maryland,IPA,,Rockville
0.06,12227 Wilkins Ave, 7 Locks Brewing,USA,3/2/2019,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-355-ipa-series-halpine-edition/709123/,7 Locks 355 IPA Series: Halpine Edition,0,20852,,Maryland,IPA,,Rockville
0.091,12227 Wilkins Ave, 7 Locks Brewing,USA,6/9/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-agave-ale/627141/,7 Locks Agave Ale,0,20852,,Maryland,Strong Ale - American,,Rockville
0.092,12227 Wilkins Ave, 7 Locks Brewing,USA,6/9/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-ba-bourbon-bannockburn/627139/,7 Locks BA Bourbon Bannockburn,0,20852,,Maryland,Scotch Ale / Wee Heavy,,Rockville
0.087,12227 Wilkins Ave, 7 Locks Brewing,USA,4/26/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-belgian-dubbel-barrel-aged/508332/,7 Locks Belgian Dubbel (Barrel Aged),1,20852,3.06,Maryland,Dubbel,,Rockville
0.122,12227 Wilkins Ave, 7 Locks Brewing,USA,11/26/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-birthday-stout-bourbon-barrel/466839/,7 Locks Birthday Stout (Bourbon Barrel),2,20852,3.16,Maryland,Stout - Imperial,,Rockville
0.05,12227 Wilkins Ave, 7 Locks Brewing,USA,8/1/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-bitch-monkey-sour/538972/,7 Locks Bitch Monkey Sour,2,20852,3.09,Maryland,Berliner Weisse,,Rockville
0.052,12227 Wilkins Ave, 7 Locks Brewing,USA,11/24/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-bitch-monkey-sour-tart-cherry/680206/,7 Locks Bitch Monkey Sour (Tart Cherry),1,20852,2.96,Maryland,Berliner Weisse,,Rockville
0.055,12227 Wilkins Ave, 7 Locks Brewing,USA,5/14/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-black-lager/418381/,7 Locks Black Lager,7,20852,3.07,Maryland,Schwarzbier / Black Lager,,Rockville
0.056,12227 Wilkins Ave, 7 Locks Brewing,USA,11/24/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-blockhouse-point-oatmeal-stout/377552/,7 Locks Blockhouse Point Oatmeal Stout,12,20852,3.43,Maryland,Stout,75.0,Rockville
0.057,12227 Wilkins Ave, 7 Locks Brewing,USA,2/8/2019,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-chai-milk-stout/703117/,7 Locks Chai Milk Stout,0,20852,,Maryland,Stout - Milk / Sweet,,Rockville
0.064,12227 Wilkins Ave, 7 Locks Brewing,USA,4/8/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-cherry-blossom-saison/409778/,7 Locks Cherry Blossom Saison,1,20852,3.04,Maryland,Saison / Farmhouse / Grisette,,Rockville
0.042,12227 Wilkins Ave, 7 Locks Brewing,USA,8/27/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-citra-session-pale-ale/445016/,7 Locks Citra Session Pale Ale,1,20852,2.96,Maryland,Pale Ale - American / APA,,Rockville
0.054,12227 Wilkins Ave, 7 Locks Brewing,USA,11/24/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-coffee-stout/377553/,7 Locks Coffee Stout,4,20852,3.13,Maryland,Stout - Dry,,Rockville
0.067,12227 Wilkins Ave, 7 Locks Brewing,USA,10/16/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-cranberry-saison/457327/,7 Locks Cranberry Saison,1,20852,3.06,Maryland,Saison / Farmhouse / Grisette,,Rockville
0.07,12227 Wilkins Ave, 7 Locks Brewing,USA,4/26/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-devil39s-alley-ipa/508326/,7 Locks Devil's Alley IPA,4,20852,3.14,Maryland,IPA,,Rockville
0.038,12227 Wilkins Ave, 7 Locks Brewing,USA,11/24/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-english-bitter/377556/,7 Locks English Bitter,4,20852,2.86,Maryland,Bitter - Ordinary / Best,,Rockville
0.055,12227 Wilkins Ave, 7 Locks Brewing,USA,4/6/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-erin-go-brew/502009/,7 Locks Erin Go Brew,1,20852,3.06,Maryland,Red Ale - Irish,,Rockville
0.088,12227 Wilkins Ave, 7 Locks Brewing,USA,3/3/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-farmhouse-strong-ale/400079/,7 Locks Farmhouse Strong Ale,7,20852,3.14,Maryland,Strong Ale - American,,Rockville
0.084,12227 Wilkins Ave, 7 Locks Brewing,USA,11/26/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-farmhouse-strong-ale-barrel-aged/466843/,7 Locks Farmhouse Strong Ale (Barrel Aged),1,20852,3.09,Maryland,Strong Ale - American,,Rockville
0.087,12227 Wilkins Ave, 7 Locks Brewing,USA,8/1/2017,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-grand-ol39-ditch-farmhouse-strong-ale/538974/,7 Locks Grand Ol' Ditch Farmhouse Strong Ale,2,20852,3.04,Maryland,Belgian Ale - Strong Pale,,Rockville
0.06,12227 Wilkins Ave, 7 Locks Brewing,USA,2/8/2019,maps.google.com/maps?f=q&hl=en&geocode=&q=7+Locks+Brewing%2C12227+Wilkins+Ave%2C+Rockville%2C+Maryland%2C+United+States%2C+20852,www.ratebeer.com/beer/7-locks-grubby-thicket-brown-ale/703115/,7 Locks Grubby Thicket Brown Ale,0,20852,,Maryland,Brown Ale,,Rockville
